A  AX
ACROPOLIS  AX K R AA P EL AX S
ACROSS  AX K R AO S
ACT  AE K T
ACTION  AE K SH IX N
ACTIONS  AE K SH IX N Z
ACTIVATED  AE K T IX V EY T IX D
ACTIVITIES  AE K T IH V AX T IY Z
ACTIVITY  AE K T IH V AX T IY
ACTOR  AE K T AXR
ACTORS  AE K T AXR Z
ACTS  AE K T S
ACTUAL  AE K CH UW EL
ACTUALLY  AE K CH UW EL IY
ADAGE  AE D IH JH
ADAPTATIONS  AE D AE P T EY SH IX N Z
ADD  AE D
ADDED  AE D IX D
ADDITION  AX D IH SH IX N
ADDITIVES  AE D IX T IH V Z
ADDRESS  AE D R EH S
ADDRESSED  AX D R EH S T
ADEQUATE  AE D IH K W IX T
ADHESIVE  AE D HH IY S IX V
ADJOURNED  AX JH ER N D
ADJUSTABLE  AX JH AH S T AX B EL
ADJUSTMENTS  AX JH AH S T M AX N T S
ADMINISTRATION  AX D M IH N IX S T R EY SH IX N
ADMINISTRATIVE  AX D M IH N IX S T R EY T IH V
ADMIRE  AX D M AY AXR
ADMITTED  AX D M IH T IX D
ADMITTING  AX D M IH T IX NG
ADOPTED  AX D AA P T IX D
ADULT  AX D AH L T
ADULTERERS  AX D AH L T ER AXR Z
ADULTHOOD  AX D AH L T HH UH D
ADULTS  AX D AH L T S
ADVANCE  AE D V AE N S
ADVANCED  AE D V AE N S T
ADVANCES  AE D V AE N S IX Z
ADVANTAGE  AE D V AE N T IX JH
ADVANTAGES  AE D V AE N T IX JH IX Z
ADVENTURE  AX D V EH N CH AXR
ADVENTURES  AX D V EH N CH AXR Z
ADVERTISING  AE D V AXR T AY Z IX NG
ADVICE  AX D V AY S
ADVISABLE  AX D V AY Z AX B EL
ADVISED  AX D V AY Z D
ADVISEMENT  AX D V AY Z M AX N T
AERIAL  AE R IY EL
AFFECT  AX F EH K T
AFFECTIONATE  AX F EH K SH IX N IX T
AFFIRMATIVE  AX F ER M AX T IH V
AFLOAT  AX F L OW T
AFRAID  AX F R EY D
AFTER  AE F T AXR
AFTERNOON  AE F T AXR N UW N
AFTERWARDS  AE F T AXR W AXR D Z
AGAIN  AX G EH N
AGAINST  AX G EH N S T
AGE  EY JH
AGENCY  EY JH IX N S IY
AGENDA  AX JH EH N D AX
AGENTS  EY JH IX N T S
AGGLOMERATION  AX G L AA M AXR EY SH IX N
AGGRESSIVE  AX G R EH S IH V
AGLOW  AX G L OW
AGO  AX G OW
AGONY  AE G IX N IY
AGREE  AX G R IY
AGREED  AX G R IY D
AGRICULTURAL  AE G R IH K AH L CH AXR EL
AHAH  AA HH AA
AHEAD  AX HH EH D
AID  EY D
AIDED  EY D IX D
AIDS  EY D Z
AIM  EY M
AIMED  EY M D
AIMLESS  EY M L AX S
AIN'T  EY N T
AIR  AE R
AIRBORNE  AE R B AO R N
AIRCRAFT  AE R K R AE F T
AIRFIELDS  AE R F IY L D Z
AIRPLANES  AE R P L EY N Z
AL  AE L
ALARM  AX L AA R M
ALCOHOL  AE L K AX HH AO L
ALCOHOLIC  AE L K AX HH AO L IH K
ALCOHOLICS  AE L K AX HH AO L IH K S
ALCOVES  AE L K OW V Z
ALERT  AX L ER T
ALFALFA  AE L F AE L F AX
ALGAE  AE L JH IY
ALGEBRAIC  AE L JH IX B R EY IH K
ALIBI  AE L IX B AY
ALICE  AE L IH S
ALICE'S  AE L IH S IX Z
ALIEN  EY L IY AX N
ALIGNED  AX L AY N D
ALIGNING  AX L AY N IX NG
ALIMONY  AE L AX M OW N IY
ALKALINE  AE L K AX L AY N
ALL  AO L
ALL-PURPOSE  AO L P ER P AX S
ALLERGIES  AE L AXR JH IY Z
ALLEVIATE  AX L IY V IY EY T
ALLIGATORS  AE L AX G EY T AXR Z
ALLOT  AX L AA T
ALLOW  AX L AW
ALLOWABLE  AX L AW AX B EL
ALLOWANCE  AX L AW AX N S
ALLOWED  AX L AW D
ALLURE  AX L UH R
ALMONDS  AA M AX N D Z
ALMOST  AO L M OW S T
ALONE  AX L OW N
ALONG  AX L AO NG
ALOUD  AX L AW D
ALREADY  AO L R EH D IY
ALSO  AO L S OW
ALTERNATED  AO L T AXR N EY T IX D
ALTERNATIVE  AO L T ER N IX T IH V
ALTHOUGH  AO L DH OW
ALTOGETHER  AO L T IX G EH DH AXR
ALUMINUM  AX L UW M IX N AX M
ALUMNI  AX L AH M N AY
ALWAYS  AO L W EY Z
AM  AE M
AMATEUR  AE M AX CH ER
AMAZE  AX M EY Z
AMAZED  AX M EY Z D
AMBASSADOR  AE M B AE S AX D AXR
AMBASSADOR'S  AE M B AE S AX D AXR Z
AMBER  AE M B AXR
AMBIDEXTROUS  AE M B IH D EH K S T R IX S
AMBIGUITY  AE M B AX G Y UW IX T IY
AMBIGUOUS  AE M B IH G Y UW AX S
AMBITIONS  AE M B IH SH IX N Z
AMBITIOUS  AE M B IH SH IX S
AMBLED  AE M B EL D
AMBULANCE  AE M B Y UH L AX N S
AMERICAN  AX M EH R IX K IX N
AMMO  AE M OW
AMOEBAS  AX M IY B AX Z
AMONG  AX M AH NG
AMORIST  AE M AO R IH S T
AMOUNT  AX M AW N T
AMOUNTS  AX M AW N T S
AMPLE  AE M P EL
AN  AE N
ANAESTHESIA  AE N IH S TH IY ZH AX
ANALYSIS  AX N AE L IX S IX S
ANALYTICITY  AE N AX L IX T IH S IX T IY
ANARCHY  AE N AXR K IY
ANATOMICAL  AE N IX T AA M IH K EL
ANCHOR  AE NG K AXR
ANCIENT  EY N SH IX N T
AND  AE N D
ANDREI'S  AE N D R EY Z
ANECDOTAL  AE N EH K D OW T EL
ANGER  AE NG G AXR
ANGORA  AE NG G AO R AX
ANGRILY  AE NG G R AX L IY
ANGRY  AE NG G R IY
ANGULAR  AE NG G Y UH L AXR
ANIMAL  AE N IX M EL
ANIMALS  AE N IX M EL Z
ANKLE  AE NG K EL
ANNOUNCING  AX N AW N S IX NG
ANNOYING  AX N OY IX NG
ANNUAL  AE N Y UW EL
ANONYMOUS  AX N AA N AX M AX S
ANOTHER  AX N AH DH AXR
ANSWER  AE N S AXR
ANSWERED  AE N S AXR D
ANSWERS  AE N S AXR Z
ANT  AE N T
ANTAGONISTIC  AE N T AE G AX N IH S T IX K
ANTARCTIC  AE N T AA R K T IH K
ANTELOPE  AE N T AX L OW P
ANTI-  AE N T AY
ANTI-INFECTIVE  AE N T AY IH N F EH K T IH V
ANTI-SLAVERY  AE N T AY S L EY V AXR IY
ANTICIPATED  AE N T IH S AX P EY T IX D
ANTIGEN  AE N T IH JH IX N
ANTISEPTIC  AE N T IX S EH P T IH K
ANTITHESIS  AE N T IH TH IX S IX S
ANTS  AE N T S
ANXIETY  AE NG Z AY IX T IY
ANY  EH N IY
ANYBODY  EH N IY B AA D IY
ANYHOW  EH N IY HH AW
ANYONE  EH N IY W AH N
ANYONE'S  EH N IY W AH N Z
ANYTHING  EH N IY TH IH NG
ANYWAY  EH N IY W EY
APARTMENTS  AX P AA R T M AX N T S
APOLOGY  AX P AA L AX JH IY
APPARENTLY  AX P AE R AX N T L IY
APPEALING  AX P IY L IX NG
APPEAR  AX P IH R
APPEARANCE  AX P IH R AX N S
APPEARED  AX P IH R D
APPEARS  AX P IH R Z
APPETITE  AE P AX T AY T
APPETITES  AE P AX T AY T S
APPETIZERS  AE P AX T AY Z AXR Z
APPLE  AE P EL
APPLES  AE P EL Z
APPLIANCES  AX P L AY IX N S IX Z
APPLICABILITY  AE P L IH K AX B IH L IX T IY
APPLICATION  AE P L IX K EY SH IX N
APPLICATIONS  AE P L IX K EY SH IX N Z
APPLIED  AX P L AY D
APPLIES  AX P L AY Z
APPLY  AX P L AY
APPLYING  AX P L AY IX NG
APPOINTED  AX P OY N T IX D
APPOINTMENT  AX P OY N T M AX N T
APPRAISAL  AX P R EY Z EL
APPRECIATE  AX P R IY SH IY EY T
APPRECIATED  AX P R IY SH IY EY T IX D
APPRECIATIVELY  AX P R IY SH IX T IH V L IY
APPROACH  AX P R OW CH
APPROACHED  AX P R OW CH T
APPROPRIATE  AX P R OW P R IY AX T
APPROVAL  AX P R UW V EL
APPROVED  AX P R UW V D
APPROVINGLY  AX P R UW V IX NG L IY
APPROXIMATED  AX P R AA K S IX M EY T IX D
APPROXIMATION  AX P R AA K S IX M EY SH IX N
APRONS  EY P R AX N Z
APTITUDE  AE P T IX T UW D
AQUATIC  AX K W AA T IH K
ARBITRARY  AA R B AX T R EH R IY
ARBITRATE  AA R B AX T R EY T
ARBOREAL  AA R B AO R IY EL
ARC  AA R K
ARCADE  AA R K EY D
ARCHEOLOGICAL  AA R K IY AX L AA JH IX K EL
ARE  AA R
AREA  AE R IY AX
AREAS  AE R IY AX Z
AREN'T  AA R EN T
ARGUE  AA R G Y UW
ARGUED  AA R G Y UW D
ARGUMENT  AA R G Y UW M AX N T
ARISE  AX R AY Z
ARISES  AX R AY Z IX Z
ARISTOCRATIC  AX R IH S T IX K R AE T IH K
ARM  AA R M
ARMCHAIR  AA R M CH AE R
ARMED  AA R M D
ARMS  AA R M Z
ARMY  AA R M IY
AROSE  AX R OW Z
AROUND  AX R AW N D
ARRANGE  AX R EY N JH
ARRANGED  AX R EY N JH D
ARRIVAL  AX R AY V EL
ARRIVE  AX R AY V
ARRIVED  AX R AY V D
ARRIVING  AX R AY V IX NG
ART  AA R T
ARTICLE  AA R T IH K EL
ARTICULATION  AA R T IH K Y UH L EY SH IX N
ARTIFICIAL  AA R T IX F IH SH EL
ARTIST  AA R T IX S T
ARTISTIC  AA R T IH S T IH K
ARTISTS  AA R T IX S T S
AS  AE Z
ASHAMED  AX SH EY M D
ASHTRAY  AE SH T R EY
ASIDE  AX S AY D
ASK  AE S K
ASKED  AE S K T
ASLEEP  AX S L IY P
ASPECT  AE S P EH K T
ASPECTS  AE S P EH K T S
ASSAIL  AX S EY L
ASSASSIN  AX S AE S IX N
ASSAULTS  AX S AO L T S
ASSEMBLED  AX S EH M B EL D
ASSEMBLING  AX S EH M B EL IX NG
ASSERT  AX S ER T
ASSIGN  AX S AY N
ASSIGNMENT  AX S AY N M AX N T
ASSISTANCE  AX S IH S T EN S
ASSISTANT  AX S IH S T IX N T
ASSOCIATED  AX S OW S IY EY T IX D
ASSOCIATES  AX S OW S IY EY T S
ASSOCIATIONS  AX S OW S IY EY SH IX N Z
ASSUME  AX S UW M
ASSUMED  AX S UW M D
ASSURE  AX SH UH R
ASSURED  AX SH UH R D
ASSUREDLY  AX SH UH R AX D L IY
ASSURES  AX SH UH R Z
ASSURING  AX SH UH R IX NG
ASTHMA  AE Z M AX
ASTONISHINGLY  AX S T AA N IH SH IX NG L IY
ASTRONOMY  AX S T R AA N AX M IY
ASTROPHYSICS  AE S T R AX F IH Z IH K S
AT  AE T
ATE  EY T
ATHEISTS  EY TH IY IX S T S
ATHLETIC  AE TH L EH T IH K
ATMOSPHERE  AE T M AX S F IH R
ATOMIC  AX T AA M IH K
ATOMS  AE T EM Z
ATOP  AX T AA P
ATTACH  AX T AE CH
ATTACK  AX T AE K
ATTACKED  AX T AE K T
ATTEMPTED  AX T EH M P T IX D
ATTENDANCE  AX T EH N D IX N S
ATTENDANTS  AX T EH N D EH N T S
ATTENTION  AX T EH N SH IX N
ATTITUDE  AE T IX T UW D
ATTRACTED  AX T R AE K T IX D
ATTRACTIVE  AX T R AE K T IH V
ATTRIBUTED  AE T R IH B Y UH T IX D
ATYPICAL  EY T IH P IH K EL
AUBURN  AO B ER N
AUDIENCE  AO D IY AX N S
AUDIO  AO D IY OW
AUDIO-VISUAL  AO D IY OW V IH ZH UW EL
AUDITION  AO D IH SH IX N
AUDITORS  AO D IX T AXR Z
AUDITORY  AO D IX T AO R IY
AUDITS  AO D IX T S
AUGMENTED  AO G M EH N T IX D
AUNT  AE N T
AUSTERE  AO S T IH R
AUTHOR  AO TH AXR
AUTHOR'S  AO TH AXR Z
AUTHORITIES  AH TH AO R IX T IY Z
AUTHORITY  AH TH AO R IX T IY
AUTHORIZATION  AO TH AXR IX Z EY SH IX N
AUTHORIZED  AO TH AXR AY Z D
AUTISTIC  AO T IH S T IX K
AUTOFLUORESCENCE  AO T OW F L UH R EH S EN S
AUTOGRAPHS  AO T IX G R AE F S
AUTOMATIC  AO T AX M AE T IH K
AUTOMOBILE  AO T AX M OW B IY L
AUTONOMY  AO T AA N AX M IY
AUTUMN  AO T EM
AVAILABLE  AX V EY L IX B EL
AVALANCHE  AE V AX L AE N CH
AVERAGE  AE V R IH JH
AVOCADO  AE V AX K AA D OW
AVOCADOS  AE V AX K AA D OW Z
AVOID  AX V OY D
AVOIDED  AX V OY D IX D
AVOIDING  AX V OY D IX NG
AVOWED  AX V AW D
AW  AO
AWARDS  AX W AO R D Z
AWARE  AX W AE R
AWAY  AX W EY
AWE  AO
AWE-INSPIRING  AO IH N S P AY ER IX NG
AWKWARD  AO K W AXR D
AWOKE  AX W OW K
AXIS  AE K S IX S
BABBLED  B AE B EL D
BABOON'S  B AE B UW N Z
BACK  B AE K
BACKED  B AE K T
BACKGROUNDS  B AE K G R AW N D Z
BACKWARD  B AE K W ER D Z
BACKYARDS  B AE K Y AA R D Z
BACTERIA  B AE K T IH R IY AX
BAD  B AE D
BADNESS  B AE D N IX S
BAFFLE  B AE F EL
BAG  B AE G
BAGPIPES  B AE G P AY P S
BAGS  B AE G Z
BAKE  B EY K
BALANCE  B AE L IX N S
BALE  B EY L
BALEFUL  B EY L F EL
BALL  B AO L
BALLET  B AE L EY
BALLETS  B AE L EY Z
BALLOONS  B AX L UW N Z
BALLPLAYER  B AO L P L EY AXR
BALLS  B AO L Z
BALLYHOO  B AE L IY HH UW
BANDAGED  B AE N D IH JH D
BANDAGES  B AE N D IH JH IX Z
BANK  B AE NG K
BANKERS  B AE NG K ER Z
BANKS  B AE NG K S
BARB  B AA R B
BARB'S  B AA R B Z
BARBARIC  B AA R B AE R IH K
BARBECUE  B AA R B IH K Y UW
BARBED  B AA R B D
BARE  B AE R
BARELY  B AE R L IY
BARGAINS  B AA R G IX N Z
BARK  B AA R K
BARLEY  B AA R L IY
BARN  B AA R N
BAROMETRIC  B AE R AX M EH T R IH K
BARRACUDA  B AE R AX K UW D AX
BARRELS  B AE R EL Z
BARRICADES  B AE R AX K EY D Z
BARRIERS  B AE R IY AXR Z
BASE  B EY S
BASEBALL  B EY S B AO L
BASEBALL'S  B EY S B AO L Z
BASED  B EY S T
BASIC  B EY S IH K
BASIS  B EY S IX S
BASKETBALL  B AE S K IH T B AO L
BATH  B AE TH
BATHE  B EY DH
BATHING  B EY DH IX NG
BATHS  B AE TH S
BATHTUBS  B AE TH T AH B Z
BATTERY  B AE T AXR IY
BATTERY-POWERED  B AE T AXR IY P AW AXR D
BATTING  B AE T IX NG
BAY  B EY
BAYED  B EY D
BAYONET  B EY AX N EH T
BAYOU  B AY UW
BAZAAR  B AX Z AA R
BE  B IY
BEACH  B IY CH
BEANS  B IY N Z
BEARD  B IH R D
BEAT  B IY T
BEATNIKS  B IY T N IH K S
BEAUTIFUL  B Y UW T IH F EL
BEAUTIFULLY  B Y UW T IH F AX L IY
BEAUTY  B Y UW T IY
BECALMED  B IH K AA M D
BECAME  B IH K EY M
BECAUSE  B IH K AO Z
BECKONS  B EH K IX N Z
BECOME  B IH K AH M
BECOMES  B IH K AH M Z
BECOMING  B IH K AH M IX NG
BED  B EH D
BEDLAM  B EH D L AX M
BEDROOM  B EH D R UW M
BEDROOMS  B EH D R UW M Z
BEDS  B EH D Z
BEEFSTEAK  B IY F S T EY K
BEEN  B IH N
BEEP  B IY P
BEER  B IH R
BEERS  B IH R Z
BEFORE  B AX F AO R
BEG  B EH G
BEGAN  B IY G AE N
BEGGAR  B EH G AXR
BEGIN  B AX G IH N
BEGINNING  B AX G IH N IX NG
BEGINS  B AX G IH N Z
BEHAVED  B IH HH EY V D
BEHAVIOR  B IH HH EY V Y AXR
BEHIND  B AX HH AY N D
BEING  B IY IX NG
BELCHED  B EH L CH T
BELIEVE  B AX L IY V
BELIEVED  B AX L IY V D
BELLHOPS  B EH L HH AA P S
BELLOWS  B EH L OW Z
BELLS  B EH L Z
BELONG  B AX L AO NG
BELONGS  B AX L AO NG Z
BELOVED  B AX L AH V AX D
BELOW  B AX L OW
BELT  B EH L T
BENCH  B EH N CH
BENEATH  B IH N IY TH
BENEFIT  B EH N AX F IH T
BENEFITS  B EH N AX F IH T S
BEQUESTS  B IH K W EH S T S
BEREFT  B ER EH F T
BESIDE  B AX S AY D
BESIDES  B AX S AY D Z
BEST  B EH S T
BET  B EH T
BETIDE  B AX T AY D
BETRAYED  B IY T R EY D
BETTER  B EH T AXR
BETWEEN  B AX T W IY N
BEVERAGE  B EH V R IX JH
BEVERAGES  B EH V R IX JH IX Z
BEYOND  B IY AA N D
BIASED  B AY IX S T
BIBLICAL  B IH B L IH K EL
BIBLIOGRAPHIES  B IH B L IY AA G R AX F IY Z
BICKERING  B IH K AXR IX NG
BIDDING  B IH D IX NG
BIG  B IH G
BIGGER  B IH G AXR
BIKE  B AY K
BILL  B IH L
BILLOWED  B IH L OW D
BILLS  B IH L Z
BINOMIAL  B AY N OW M IY EL
BIOLOGICAL  B AY AX L AA JH IH K EL
BIOLOGISTS  B AY AA L AX JH IX S T S
BIOLOGY  B AY AA L AX JH IY
BIRACIAL  B AY R EY SH EL
BIRDS  B ER D Z
BIRTH  B ER TH
BIRTHDAY  B ER TH D EY
BISCUIT  B IH S K IX T
BIT  B IH T
BITES  B AY T S
BITTER  B IH T AXR
BIVOUAC  B IH V W AE K
BIZARRE  B AX Z AA R
BLACK  B L AE K
BLACKENED  B L AE K IX N D
BLAME  B L EY M
BLANK  B L AE NG K
BLANKETS  B L AE NG K IX T S
BLASPHEMOUS  B L AE S F AX M AH S
BLASTDOWN  B L AE S T D AW N
BLEACHERS  B L IY CH AXR Z
BLEND  B L EH N D
BLEU  B L UW
BLEW  B L UW
BLINDNESS  B L AY N D N IX S
BLISSFUL  B L IH S F EL
BLISTERED  B L IH S T AXR D
BLITZ  B L IH T S
BLOAT  B L OW T
BLOCK  B L AA K
BLOCKADE  B L AA K EY D
BLOCKS  B L AA K S
BLONDE  B L AA N D
BLOODED  B L AH D IX D
BLOUSES  B L AW S IX Z
BLOW  B L OW
BLOWERS  B L OW AXR Z
BLOWING  B L OW IX NG
BLUE  B L UW
BLUEJAY  B L UW JH EY
BLUES  B L UW Z
BLUFFS  B L AH F S
BLUING  B L UW IX NG
BLUISH  B L UW IH SH
BLUNT  B L AH N T
BLUNTLY  B L AH N T L IY
BOARD  B AO R D
BOARDINGHOUSES  B AO R D IX NG HH AW Z IX Z
BOAT  B OW T
BOAT'S  B OW T S
BOB  B AA B
BOBBY  B AA B IY
BOBCAT  B AA B K AE T
BODIED  B AA D IY D
BODIES  B AA D IY Z
BODY  B AA D IY
BOG  B AO G
BOGGED  B AO G D
BOIL  B OY L
BOILING  B OY L IX NG
BOLD  B OW L D
BOLT  B OW L T
BOMB  B AA M
BOMBS  B AA M Z
BONE  B OW N
BONES  B OW N Z
BONFIRE  B AA N F AY AXR
BONGOS  B AA NG G OW Z
BOOK  B UH K
BOOKS  B UH K S
BOOM  B UW M
BOOMERANG  B UW M AXR AE NG
BOOST  B UW S T
BOOTLEGGERS  B UW T L EH G AXR Z
BOOTS  B UW T S
BORED  B AO R D
BORING  B AO R IX NG
BORN  B AO R N
BORROW  B AA R OW
BOSS  B AO S
BOSTON  B AO S T EN
BOTH  B OW TH
BOTHER  B AA DH AXR
BOTHERS  B AA DH AXR Z
BOTTLE  B AA T EL
BOTTOM  B AA T EM
BOTTOMED  B AA T EM D
BOUGHT  B AO T
BOUNCE  B AW N S
BOUNDED  B AW N D IX D
BOUNDS  B AW N D Z
BOURGEOIS  B UH R ZH W AA
BOWL  B OW L
BOX  B AA K S
BOY  B OY
BOY'S  B OY Z
BOYS  B OY Z
BRACELET  B R EY S L IX T
BRAIDING  B R EY D IX NG
BRAIN  B R EY N
BRAKES  B R EY K S
BRANCH  B R AE N CH
BRAND  B R AE N D
BRAVE  B R EY V
BREAD  B R EH D
BREAK  B R EY K
BREAKDOWN  B R EY K D AW N
BREAKFAST  B R EH K F IX S T
BREAKING  B R EY K IX NG
BREAST  B R EH S T
BREATH  B R EH TH
BREATHED  B R IY DH D
BREATHLESSLY  B R EH TH L AX S L IY
BREED  B R IY D
BREEZE  B R IY Z
BRICK  B R IH K
BRICKS  B R IH K S
BRIDAL  B R AY D EL
BRIDE  B R AY D
BRIDE'S  B R AY D Z
BRIDGE  B R IH JH
BRIDGES  B R IH JH IX Z
BRIEF  B R IY F
BRIEFLY  B R IY F L IY
BRIGHT  B R AY T
BRIGHTER  B R AY T AXR
BRIGHTLY  B R AY T L IY
BRIM  B R IH M
BRING  B R IH NG
BRINGS  B R IH NG Z
BRISTLES  B R IH S EL Z
BROCCOLI  B R AA K AX L IY
BROCHURE  B R OW SH UH R
BROIL  B R OY L
BROKE  B R OW K
BROKEN  B R OW K IX N
BRONC  B R AA NG K
BROTHER  B R AH DH AXR
BROTHER'S  B R AH DH AXR Z
BROUGHT  B R AO T
BROWN  B R AW N
BROWS  B R AW Z
BRUISES  B R UW Z IX Z
BRUSH  B R AH SH
BRUSHY  B R AH SH IY
BUBBLES  B AH B EL Z
BUCKLE  B AH K EL
BUDDIES  B AH D IY Z
BUDDY  B AH D IY
BUFF  B AH F
BUFFALO  B AH F AX L OW
BUGEYED  B AH G AY D
BUGGED  B AH G D
BUGLE  B Y UW G EL
BUILD  B IH L D
BUILDERS  B IH L D AXR Z
BUILDING  B IH L D IX NG
BUILDINGS  B IH L D IX NG Z
BUILT  B IH L T
BULGED  B AH L JH D
BULL  B UH L
BULL-LIKE  B UH L L AY K
BULLET  B UH L IX T
BULLETS  B UH L IX T S
BUM  B AH M
BUMP  B AH M P
BUNGALOW  B AH NG G AX L OW
BUNKS  B AH NG K S
BUNS  B AH N Z
BUREAUCRACY  B Y AXR AA K R IX S IY
BURGLAR  B ER G L AXR
BURN  B ER N
BURNED  B ER N D
BURNER  B ER N AXR
BURNING  B ER N IX NG
BURST  B ER S T
BURSTING  B ER S T IX NG
BURY  B EH R IY
BUS  B AH S
BUSHEL  B UH SH EL
BUSINESS  B IH Z N IX S
BUSY  B IH Z IY
BUT  B AH T
BUTCHER  B UH CH AXR
BUTTER  B AH T AXR
BUTTERFLY  B AH T AXR F L AY
BUTTERSCOTCH  B AH T AXR S K AA CH
BUTTONHOLES  B AH T EN HH OW L Z
BUTTONS  B AH T EN Z
BUY  B AY
BUYER  B AY AXR
BUYING  B AY IX NG
BUYS  B AY Z
BUZZ  B AH Z
BUZZING  B AH Z IX NG
BY  B AY
C'MON  K AX M AA N
CAB  K AE B
CABINETS  K AE B IX N IX T S
CABLE  K EY B EL
CAFE  K AE F EY
CAFETERIA  K AE F AX T IH R IY AX
CAGE  K EY JH
CALCIUM  K AE L S IY AX M
CALENDAR  K AE L IX N D AXR
CALENDARS  K AE L IX N D AXR Z
CALF  K AE F
CALICO  K AE L IH K OW
CALL  K AO L
CALLED  K AO L D
CALLING  K AO L IX NG
CALLS  K AO L Z
CALM  K AA M
CAME  K EY M
CAMEO  K AE M IY OW
CAMERA  K AE M AXR AX
CAMP  K AE M P
CAMPING  K AE M P IX NG
CAMPUS  K AE M P AX S
CAN  K AE N
CAN'T  K AE N T
CANDIES  K AE N D IY Z
CANDLES  K AE N D EL Z
CANDY  K AE N D IY
CANISTER  K AE N IX S T AXR
CANNED  K AE N D
CANNOT  K AE N AA T
CANOES  K AX N UW Z
CANTALOUPE  K AE N T AX L OW P
CANTEEN  K AE N T IY N
CANTER  K AE N T AXR
CAP'N  K AE P EN
CAPABLE  K EY P AX B EL
CAPILLARY  K AE P AX L EH R IY
CAPITAL  K AE P IX T EL
CAPITALISTS  K AE P IX T EL IH S T S
CAPITALIZE  K AE P AX T AX L AY Z
CAPSULE  K AE P S EL
CAPTAIN  K AE P T IX N
CAPTURED  K AE P CH AXR D
CAR  K AA R
CAR'S  K AA R Z
CARAWAY  K AE R AX W EY
CARDBOARD  K AA R D B AO R D
CARDS  K AA R D Z
CARE  K AE R
CAREFREE  K AE R F R IY
CAREFUL  K AE R F EL
CAREFULLY  K AE R F UH L IY
CARL  K AA R L
CAROL  K AE R EL
CARPENTER  K AA R P AX N T AXR
CARPET  K AA R P AX T
CARRIAGE  K AE R IH JH
CARRIED  K AE R IY D
CARRIES  K AE R IY Z
CARRY  K AE R IY
CARRYING  K AE R IY IX NG
CARS  K AA R Z
CART  K AA R T
CARTILAGE  K AA R T EL IH JH
CARTOON  K AA R T UW N
CARTOONS  K AA R T UW N Z
CARVED  K AA R V D
CASE  K EY S
CASES  K EY S IX Z
CASH  K AE SH
CASHMERE  K AE ZH M IH R
CASSANDRA  K AX S AE N D R AX
CAST  K AE S T
CASTOR  K AE S T AXR
CASTORBEANS  K AE S AXR B IY N Z
CASUAL  K AE ZH UW EL
CASUALLY  K AE ZH UW AX L IY
CAT  K AE T
CAT'S  K AE T S
CATASTROPHIC  K AE T IX S T R AA F IH K
CATCH  K AE CH
CATEGORIES  K AE T AX G AO R IY Z
CATKINS  K AE T K IX N Z
CATS  K AE T S
CATTLE  K AE T EL
CAUGHT  K AO T
CAULIFLOWER  K AO L IH F L AW AXR
CAUSED  K AO Z D
CAUSES  K AO Z IX Z
CAUSEWAY  K AO Z W EY
CAUTION  K AO SH IX N
CAVITY  K AE V AX T IY
CEASE  S IY S
CEASE-FIRE  S IY S F AY AXR
CEILING  S IY L IX NG
CELEBRATE  S EH L IX B R EY T
